"poliza","Exp_num_total_reclama","Prima"
757576,0.12722165077329,1000
757596,0.0785494462088328,200
757734,0.0804086907163569,250
757760,0.0752048546339155,200
757763,0.169434931357159,2000
757769,0.0981938479087097,500
757790,0.080218215854788,250
757801,0.0946044721185882,300
757820,0.0751245403982798,200
757825,0.0768567534015931,200
757911,0.0760693461868398,200
757917,0.0859353533563265,250
757957,0.0773662720494655,200
757985,0.0762088207201136,200
757999,0.161535933313398,1800
758036,0.065579172640301,100
758054,0.0675616746201282,150
758058,0.0635690499714399,100
758059,0.0861400607084161,250
758065,0.12221407018504,1000
758077,0.0744582376367744,200
758080,0.0762026177301805,200
758104,0.0966425246417559,500
758109,0.0630623380346595,100
758117,0.0864948133501458,250
758136,0.185481972329275,2000
758146,0.0864859939520369,250
758176,0.0671901156169671,150
758243,0.20158719388616,2000
758246,0.155135471585685,1800
758254,0.0971588104412943,500
758261,0.0713763185320456,150
758287,0.0829354321083006,250
758288,0.152171666199285,1800
758298,0.14164211076696,1800
758314,0.0543488054511421,100
758337,0.0697556744375429,150
758346,0.071396989482075,150
758364,0.135235316248402,1800
758397,0.096529933018002,500
758401,0.0956453201931796,300
758416,0.15815367893585,1800
758485,0.0691682093689555,150
758492,0.0906984678758039,300
758552,0.0700843074305478,150
758555,0.0810002287427405,250
758558,0.0712234422388479,150
758606,0.0741187659761276,200
758614,0.159405804904262,1800
758632,0.0875051863102968,300
758678,0.124807672239709,1000
758692,0.0729666071267726,150
758716,0.07460855150485,200
758717,0.153783213067028,1800
758750,0.0568256924743432,100
758752,0.0827683435364756,250
758779,0.0655207273815505,100
758781,0.140357641765755,1800
758802,0.16570821503588,2000
758818,0.0712234422388479,150
758978,0.165846942235186,2000
759016,0.132862993165515,1000
759020,0.11784126883679,1000
759038,0.080672617374557,250
759065,0.0737959847181469,200
759066,0.0753493021053974,200
759072,0.0666764986262289,150
759102,0.0642521676916559,100
759104,0.111338309311057,800
759110,0.0950072712189448,300
759111,0.0950072712189448,300
759112,0.0950072712189448,300
759144,0.0714061896076368,150
759244,0.103954098865585,500
759268,0.0825528569238718,250
759274,0.0748578333141767,200
759283,0.0694362246040774,150
759286,0.0778333536118971,200
759338,0.0817347883435555,250
759364,0.0683594895229487,150
759400,0.100018359678791,500
759411,0.129682939255592,1000
759414,0.0678440357233367,150
759472,0.0986856495382559,500
759478,0.0774869771894218,200
759535,0.0755297244980855,200
759549,0.143069645473029,1800
759580,0.106568814505598,800
759604,0.0736764761210486,200
759630,0.14111930454603,1800
759673,0.0671901156169671,150
759714,0.0699315375911198,150
759741,0.0715765868783929,150
759756,0.0817771322662632,250
759807,0.0777359089667366,200
759900,0.173227855516407,2000
759923,0.0688170187498887,150
759942,0.059976574867178,100
759944,0.12004105213671,1000
759955,0.0979390166941207,500
759974,0.0802429661705733,250
760013,0.0855052732953812,250
760019,0.0864944906652744,250
760037,0.0582084041222111,100
760041,0.101229324147273,500
760090,0.0769498456606249,200
760105,0.0652397119988127,100
760171,0.0691773120714681,150
760299,0.061255891196445,100
760304,0.104383099335875,500
760364,0.0996781792414874,500
760368,0.0757573548016877,200
760410,0.101488783524879,500
760415,0.0608236314283748,100
760416,0.0857599321901553,250
760449,0.0994966121810495,500
760456,0.0972430532201712,500
760493,0.12616251477988,1000
