"poliza","Preds","Prima"
757576,0.13587120206335,1800
757596,0.0604840772128484,8
757734,0.0631706661741528,8
757760,0.0838736740697765,150
757763,0.127250986287324,1000
757769,0.0915443320363328,300
757790,0.0621814266479703,8
757801,0.0891292096177601,300
757820,0.0763381320150524,50
757825,0.0585531438538568,8
757911,0.0667377388374375,15
757917,0.0747914519112081,50
757957,0.0705968335553941,15
757985,0.0592002249111334,8
757999,0.185048840907762,2000
758036,0.0617331559955079,8
758054,0.0609161547942162,8
758058,0.0557621809160967,8
758059,0.0678598593921878,15
758065,0.109379747162573,800
758077,0.0812025282016184,150
758080,0.0846711234389824,150
758104,0.07557921910298,50
758109,0.0556913142959202,8
758117,0.068053837306079,15
758136,0.142571310621439,1800
758146,0.0795725266687318,50
758176,0.0649695044900458,15
758243,0.155500977941505,1800
758246,0.159626184620189,2000
758254,0.0752936208187096,50
758261,0.059549932282942,8
758287,0.0787303539533364,50
758288,0.119147318720438,1000
758298,0.142176067650267,1800
758314,0.0720205611927523,15
758337,0.0562580932270402,8
758346,0.0594116193451892,8
758364,0.122581018825839,1000
758397,0.0881774295761273,300
758401,0.0850523977066714,150
758416,0.14579024168264,1800
758485,0.0689312767001324,15
758492,0.0854621874966049,150
758552,0.0629680374943921,8
758555,0.0847474652993812,150
758558,0.0806612947006271,150
758606,0.0595463018543783,8
758614,0.140433514466677,1800
758632,0.0736492141611571,50
758678,0.118277188990513,1000
758692,0.079380378493336,50
758716,0.0719636568244263,15
758717,0.12296247297111,1000
758750,0.0632912197009901,8
758752,0.0769266006013248,50
758779,0.0630404967753414,8
758781,0.131969322540303,1800
758802,0.138310813251784,1800
758818,0.0806612947006271,150
758978,0.141089923163085,1800
759016,0.141749601284539,1800
759020,0.10002549830364,500
759038,0.0685040987954544,15
759065,0.0671318168829927,15
759066,0.0698069832085236,15
759072,0.0719636568244263,15
759102,0.0580176296618702,8
759104,0.0941823201834957,300
759110,0.0871765657337946,300
759111,0.0871765657337946,300
759112,0.0871765657337946,300
759144,0.0652920595621609,15
759244,0.0952350785759025,500
759268,0.085092453201728,150
759274,0.0761434541634307,50
759283,0.0717329046301721,15
759286,0.0655126731194724,15
759338,0.0691462285447411,15
759364,0.0764772796741646,50
759400,0.0927623900766895,300
759411,0.168466582891683,2000
759414,0.058039416276234,8
759472,0.0856565168446516,150
759478,0.0780541421710115,50
759535,0.0682604616550943,15
759549,0.110648628174233,800
759580,0.0917111832452114,300
759604,0.0646925971576492,15
759630,0.149139804307782,1800
759673,0.0705629055388576,15
759714,0.071703556583214,15
759741,0.0722900651410071,15
759756,0.0731166123322845,50
759807,0.0836330887331288,150
759900,0.146555020070006,1800
759923,0.0697049635923575,15
759942,0.0654589933849454,15
759944,0.128874263600407,1000
759955,0.0893419990103231,300
759974,0.0758253061824183,50
760013,0.0763664209896496,50
760019,0.0865411464196564,150
760037,0.0639081093302336,8
760041,0.0890063808814723,300
760090,0.0700622258821247,15
760105,0.0665383227917885,15
760171,0.0738914456640937,50
760299,0.0624628800331411,8
760304,0.115940506326353,800
760364,0.096070010100414,500
760368,0.071383184722366,15
760410,0.114400369789707,800
760415,0.0610628841725901,8
760416,0.0765795097230512,50
760449,0.0924147120530234,300
760456,0.0978914254409579,500
760493,0.133277391695338,1800
760508,0.0726006968653016,15
760520,0.0846202670747407,150
760523,0.145503977707595,1800
760577,0.0617443160097663,8
760578,0.0884028749901816,300
760592,0.133464792648773,1800
760628,0.086062013878334,150
760650,0.0723183378999964,15
760664,0.0718635498799935,15
760708,0.0817390216857535,150
760745,0.134376341614208,1800
760813,0.123092759940688,1000
760822,0.125778528416332,1000
760825,0.0805446390298369,150
760827,0.072291272199045,15
760833,0.113520120032847,800
760834,0.0638313487024171,8
760851,0.147113947220753,1800
760860,0.0756053832979362,50
760866,0.0950492994958797,300
760878,0.0783705006435863,50
760891,0.0737680822392192,50
760944,0.0719588554241525,15
760955,0.0904308292782113,300
760990,0.0944764247440037,300
760999,0.111173650939225,800
761014,0.0685661924668319,15
761016,0.074431838595117,50
761020,0.0768809283869782,50
761040,0.0637775621550481,8
761053,0.0809039714270107,150
761055,0.0732603595941655,50
761083,0.0702181950534454,15
761088,0.092272571195767,300
761101,0.0781524572012491,50
761104,0.0754904093857247,50
761127,0.0793098852709217,50
761140,0.07924614869547,50
761150,0.115343073312178,800
761164,0.0706111456742421,15
761251,0.0830712566941043,150
761252,0.0742126257183437,50
761262,0.142827338670166,1800
761267,0.0734337866651892,50
761270,0.0884028749901816,300
761274,0.0575154562286064,8
761333,0.0717466500679911,15
761363,0.0523147265196128,8
761370,0.0662717419682625,15
761385,0.084404468084604,150
761465,0.126268366319462,1000
761494,0.0580719160718032,8
761495,0.133853775533198,1800
761523,0.0684468392096917,15
761580,0.0683121551100969,15
761591,0.0606812161491075,8
761616,0.13589765449081,1800
761634,0.0627453342019497,8
761670,0.0673454525591775,15
761697,0.0693471528151388,15
761698,0.0671395646468352,15
761722,0.0743478990460071,50
761762,0.088203707592874,300
761772,0.067172100779822,15
761778,0.0625611395443888,8
761795,0.0676582089684855,15
761817,0.0488189358219945,8
761828,0.0818328203558579,150
761870,0.0806612947006271,150
761909,0.0736808697686467,50
761915,0.0590174685602819,8
761933,0.154517781367703,1800
761948,0.06649955616821,15
762012,0.0695348980054458,15
762013,0.0573317792224238,8
762019,0.0726915298178164,50
762029,0.0761339739783489,50
762054,0.143117783641857,1800
762061,0.0722296278787767,15
762072,0.0635438883135834,8
762078,0.0659242571665459,15
762101,0.0703487129126958,15
762171,0.138433381115205,1800
762200,0.114680528158532,800
762226,0.14349048600736,1800
762249,0.087084954241776,300
762259,0.142508256829841,1800
762261,0.0738914456640937,50
762273,0.0504998121350464,8
762293,0.102863338578275,500
762320,0.0771797751954257,50
762322,0.0733323723228496,50
762334,0.0959565568104948,500
762349,0.0974087380542837,500
762351,0.0737680822392192,50
762354,0.0593278167289119,8
762357,0.170303978198217,2000
762362,0.0974613337574427,500
762368,0.0379228578363614,8
762389,0.123757782368776,1000
762444,0.0992895472980202,500
762506,0.100224559071411,500
762518,0.0919293783819686,300
762532,0.0832869480856263,150
762550,0.0874798465036962,300
762552,0.117276519555057,1000
762588,0.0741266405851495,50
762594,0.131169409531166,1800
762645,0.0766042802443665,50
762658,0.143807827432039,1800
762659,0.116600983073593,1000
762666,0.0661623355512002,15
762680,0.0826580765680085,150
762692,0.131207363616319,1800
762760,0.0767194291180795,50
